Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
26,12,15,18,20,17,13,49,5,2,7,8,13,24,13,33,1,0,0,0,0,0,0,1,0
18,12,20,18,20,15,11,46,4,2,5,8,13,24,8,26,1,0,0,0,0,0,1,0,0
8,12,17,13,20,14,16,43,2,3,7,4,13,17,26,51,1,0,0,1,0,0,0,0,2
29,12,15,12,20,18,25,50,5,7,4,7,17,21,39,26,1,0,0,1,0,0,0,0,0
26,12,15,6,20,17,26,49,5,7,5,5,29,21,27,27,1,0,0,0,0,0,0,1,2
22,12,15,4,20,16,27,46,4,7,6,3,24,18,47,39,1,0,0,1,0,0,0,0,0
2,12,19,7,20,13,19,40,1,5,4,4,22,16,58,26,1,0,0,0,1,0,0,0,2
2,12,17,20,20,13,1,40,1,0,4,9,10,30,8,24,1,0,0,0,1,0,0,0,1
26,12,18,11,20,17,23,49,5,5,8,4,20,18,35,55,1,0,0,0,0,0,0,1,3
17,12,20,11,20,15,21,46,4,6,3,6,29,20,63,24,1,0,1,0,0,0,0,0,1
22,12,18,12,20,16,21,46,4,6,3,7,16,21,51,26,1,0,0,1,0,0,0,0,0
9,12,14,9,20,14,20,43,2,6,2,6,15,18,51,8,1,0,0,0,1,0,0,0,1
29,12,15,11,20,18,25,50,5,6,7,5,28,26,39,26,1,0,0,1,0,0,0,0,2
1,12,19,12,20,13,16,38,1,4,4,5,17,16,26,17,1,0,0,1,0,0,0,0,4
29,12,15,14,20,18,19,50,5,5,4,9,25,35,35,27,1,0,0,1,0,0,0,0,0
22,12,15,14,20,16,16,46,4,4,4,8,22,33,29,22,1,0,0,1,0,0,0,0,3
16,12,15,12,20,15,19,43,3,4,7,4,21,16,47,31,1,0,0,0,1,0,0,0,3
15,12,15,1,19,14,29,29,9,8,5,1,25,11,73,18,1,0,0,1,0,0,0,0,1
2,12,14,7,20,14,20,40,4,5,5,4,21,19,48,20,1,0,0,0,1,0,0,0,0
2,12,14,11,20,13,18,40,1,4,6,3,17,15,17,59,1,0,0,0,1,0,0,0,2
9,12,11,9,20,14,20,43,2,5,5,4,21,19,42,26,1,0,0,0,1,0,0,0,3
30,12,15,11,19,17,21,34,11,5,6,6,17,20,39,33,1,0,0,0,1,0,0,0,3
29,12,15,17,20,18,15,50,5,3,6,9,14,23,33,39,1,0,0,1,0,0,0,0,2
22,12,15,16,20,16,16,46,4,4,4,8,20,29,31,24,1,0,0,1,0,0,0,0,2
26,12,15,14,20,17,17,49,5,3,8,6,16,23,33,19,1,0,0,0,0,0,0,1,1
21,12,21,10,19,15,20,30,10,5,5,5,16,16,42,26,1,1,0,0,0,0,0,0,1
9,12,14,17,20,14,13,43,2,3,4,7,12,18,34,26,1,0,0,0,1,0,0,0,1
22,12,15,8,20,16,24,46,4,6,6,4,26,22,44,29,1,0,0,1,0,0,0,0,1
17,12,21,7,19,14,22,30,10,6,4,4,17,16,46,37,1,0,1,0,0,0,0,0,3
16,12,15,11,20,15,20,44,3,5,5,5,23,19,46,18,1,0,0,0,1,0,0,0,2
23,12,15,6,19,15,25,30,11,6,7,2,18,10,47,47,1,0,0,0,1,0,0,0,2
27,12,21,17,19,16,13,31,11,3,4,9,15,23,44,29,1,0,0,0,0,1,0,0,0
30,12,14,2,20,19,33,36,11,8,9,2,25,16,37,59,1,0,0,0,1,0,0,0,0
10,12,20,10,19,13,20,29,9,5,5,3,15,14,40,50,1,0,1,0,0,0,0,0,1
17,12,20,18,19,15,7,39,5,4,3,8,14,21,18,18,1,0,1,0,0,0,0,0,1
16,12,21,5,19,14,24,30,10,6,6,2,28,19,39,31,1,0,0,0,1,0,0,0,2
22,12,16,17,20,17,16,35,13,3,7,7,17,23,19,46,1,0,0,1,0,0,0,0,1
16,12,16,8,19,15,22,38,5,5,7,3,19,14,46,37,1,0,0,0,1,0,0,0,0
15,12,15,8,19,14,21,29,9,6,3,5,19,19,30,40,1,0,0,1,0,0,0,0,1
12,12,19,18,20,13,11,30,8,2,5,6,15,20,22,44,1,0,0,0,0,0,0,1,0
12,12,14,6,20,9,22,30,8,7,1,1,16,7,110,0,1,0,0,0,0,0,0,1,0
23,12,14,1,19,17,42,42,6,13,4,0,38,8,90,20,1,0,0,0,1,0,0,0,4
16,12,14,18,20,17,16,35,13,4,4,9,11,17,31,24,1,0,0,0,1,0,0,0,0
12,12,16,19,19,14,4,35,4,0,4,10,13,37,33,11,1,0,0,0,0,0,0,1,2
9,12,13,1,20,14,27,27,7,8,3,3,39,20,77,11,1,0,0,0,1,0,0,0,2
8,12,13,15,20,14,15,26,10,3,6,5,12,19,18,46,1,0,0,1,0,0,0,0,3
2,12,13,5,20,9,20,27,7,6,2,1,16,8,63,16,1,0,0,0,1,0,0,0,1
12,5,19,4,20,38,72,95,21,20,12,6,66,30,73,18,1,0,0,1,0,0,0,0,1
20,5,19,11,20,38,43,95,21,11,10,17,29,59,37,42,1,0,0,0,1,0,0,0,0
13,5,14,8,20,38,57,95,21,16,9,13,54,46,37,42,1,0,0,0,1,0,0,0,0
6,5,10,14,20,38,40,95,21,12,4,22,48,63,49,19,1,0,0,0,1,0,0,0,0
6,5,18,16,20,38,39,95,21,11,6,21,33,61,25,42,1,0,0,0,1,0,0,0,0
6,5,13,5,20,38,72,95,21,21,9,8,89,49,55,30,1,0,0,0,1,0,0,0,1
13,5,17,7,20,38,60,95,21,16,12,10,57,39,49,18,1,0,0,0,1,0,0,0,1
20,5,14,12,20,38,41,95,21,11,8,19,33,43,30,30,1,0,0,0,1,0,0,0,1
6,5,13,12,20,38,41,95,21,11,8,19,33,43,30,25,1,0,0,0,1,0,0,0,2
18,5,19,18,22,42,46,85,37,11,13,18,40,60,33,9,1,1,0,0,0,0,0,0,0
12,5,14,14,22,42,48,85,37,9,21,12,48,47,33,46,1,0,0,1,0,0,0,0,5
19,8,17,10,20,0,0,3,0,0,0,0,0,0,37,55,1,0,0,0,1,0,0,0,0
25,8,19,4,20,1,3,3,0,1,0,0,2,1,80,13,1,0,0,1,0,0,0,0,3
19,8,19,4,20,1,3,3,0,1,0,0,1,0,30,42,1,0,0,0,1,0,0,0,1
26,8,19,17,20,1,0,6,0,0,0,1,0,1,73,13,1,0,0,0,1,0,0,0,2
25,8,17,3,20,1,3,3,0,1,0,0,3,2,97,13,1,0,0,1,0,0,0,0,2
26,8,19,10,20,0,0,6,0,0,0,0,0,0,48,19,1,0,0,0,1,0,0,0,6
26,8,19,11,20,0,0,6,0,0,0,0,0,0,110,17,1,0,0,0,1,0,0,0,2
26,8,19,9,20,1,1,6,0,0,1,0,2,2,49,30,1,0,0,0,1,0,0,0,1
29,9,17,1,20,6,18,18,-1,6,0,0,13,4,84,26,1,0,0,1,0,0,0,0,3
26,9,20,1,20,6,18,18,-1,6,0,0,13,4,84,26,1,0,0,0,0,0,0,1,2
2,9,19,18,20,1,0,9,0,0,0,1,0,1,42,30,1,0,0,0,1,0,0,0,3
27,9,20,17,20,6,5,18,-1,1,2,3,5,7,27,0,1,0,0,0,0,1,0,0,1
23,9,17,16,20,3,4,12,-1,1,1,1,5,5,51,37,1,0,0,0,1,0,0,0,2
16,9,11,9,20,3,4,9,-2,1,1,1,5,5,66,22,1,0,0,0,1,0,0,0,2
15,9,14,7,20,3,4,9,-2,1,1,1,5,3,37,37,1,0,0,1,0,0,0,0,0
1,9,17,15,20,2,1,6,0,0,1,1,0,1,27,15,1,0,0,1,0,0,0,0,0
25,9,20,9,20,5,7,15,-1,2,1,2,6,4,55,16,1,0,0,0,0,0,1,0,2
21,9,19,6,20,4,7,12,-1,2,1,1,9,7,0,55,1,1,0,0,0,0,0,0,3
23,9,14,10,20,4,6,12,-1,2,0,2,3,4,39,8,1,0,0,0,1,0,0,0,4
30,9,18,4,20,6,13,21,-1,4,1,1,14,8,59,34,1,0,0,0,1,0,0,0,1
23,9,14,18,20,4,1,12,-1,0,1,3,0,5,26,17,1,0,0,0,1,0,0,0,2
15,9,17,5,20,3,6,9,-2,2,0,1,5,6,55,14,1,0,0,1,0,0,0,0,1
23,9,11,12,20,4,5,12,-1,1,2,1,4,4,51,26,1,0,0,0,1,0,0,0,1
22,9,19,5,20,4,7,12,-1,2,1,1,9,2,47,31,1,0,0,1,0,0,0,0,0
2,9,17,5,20,2,4,9,0,1,1,0,6,1,25,37,1,0,0,0,1,0,0,0,1
30,9,13,3,20,7,13,21,-1,4,1,2,14,5,50,20,1,0,0,0,1,0,0,0,2
19,9,18,5,20,3,6,12,-1,2,0,1,8,1,55,14,1,0,0,0,0,0,0,1,1
26,9,20,13,20,6,6,18,-1,1,3,2,9,8,27,64,1,0,0,0,0,0,0,1,0
23,9,14,20,20,4,-1,12,-1,0,2,2,5,11,37,15,1,0,0,0,1,0,0,0,0
26,9,20,8,20,5,9,18,-1,3,0,2,9,10,34,17,1,0,0,0,0,0,0,1,2
26,9,20,15,20,6,6,18,-1,1,3,2,4,7,27,37,1,0,0,0,0,0,0,1,0
16,9,14,16,20,2,3,9,-2,1,0,1,5,6,47,16,1,0,0,0,1,0,0,0,1
30,9,13,20,20,6,-1,21,-1,0,2,4,5,15,18,9,1,0,0,0,1,0,0,0,0
30,9,10,18,20,6,4,21,-1,1,1,4,2,7,20,0,1,0,0,0,1,0,0,0,2
22,9,14,16,20,4,4,12,-1,1,1,2,4,5,44,22,1,0,0,1,0,0,0,0,2
16,9,14,12,20,3,4,9,-2,1,1,1,3,3,39,24,1,0,0,0,1,0,0,0,1
30,9,19,3,19,5,10,13,1,3,1,1,12,8,110,0,1,0,0,0,1,0,0,0,1
2,9,19,7,20,2,4,9,0,1,1,0,3,2,30,42,1,0,0,0,1,0,0,0,5
28,9,20,9,19,5,6,13,-2,2,0,3,7,8,55,55,1,1,0,0,0,0,0,0,2
2,9,20,4,19,2,4,6,-5,1,1,0,2,1,33,33,1,0,0,0,1,0,0,0,2
17,9,20,17,19,1,0,9,-5,0,0,1,1,2,110,0,1,0,1,0,0,0,0,0,0
29,9,14,11,19,5,6,13,-2,2,0,3,5,7,13,46,1,0,0,1,0,0,0,0,2
27,9,19,5,20,3,4,7,0,1,1,1,6,5,33,55,1,0,0,0,0,1,0,0,2
15,9,14,14,19,2,1,6,-5,0,1,1,3,4,19,46,1,0,0,1,0,0,0,0,1
1,9,17,16,19,1,0,4,-5,0,0,1,0,1,27,14,1,0,0,1,0,0,0,0,3
1,9,17,17,19,1,0,4,-5,0,0,1,2,4,26,33,1,0,0,1,0,0,0,0,0
21,1,20,20,20,19,8,53,8,1,8,10,14,35,7,51,0,0,1,0,0,0,0,0,0
20,1,20,5,20,19,32,53,8,9,5,5,28,21,55,30,0,0,0,0,1,0,0,0,1
19,1,20,12,20,19,25,53,8,6,7,6,30,32,30,42,0,0,0,1,0,0,0,0,0
19,1,15,9,20,19,27,53,8,6,9,4,24,19,37,55,0,0,0,1,0,0,0,0,2
26,1,20,2,20,20,47,56,8,15,2,3,39,18,80,13,0,0,0,1,0,0,0,0,0
21,1,15,7,20,19,31,53,8,8,7,4,26,20,42,42,0,0,1,0,0,0,0,0,2
26,1,18,15,20,20,18,56,8,4,6,10,17,25,18,37,0,0,0,1,0,0,0,0,0
26,1,15,13,20,20,21,56,8,4,9,7,19,27,25,42,0,0,0,1,0,0,0,0,0
20,1,15,7,20,19,29,53,8,8,5,6,32,23,37,42,0,0,0,0,1,0,0,0,3
19,1,18,2,19,18,32,37,12,8,8,2,35,24,49,42,0,0,0,1,0,0,0,0,2
19,1,15,6,19,18,29,37,12,8,5,5,27,21,52,26,0,0,0,1,0,0,0,0,1
26,1,15,17,19,20,17,37,15,4,5,11,19,36,26,33,0,0,0,1,0,0,0,0,1
23,1,20,18,19,20,11,50,9,4,4,12,15,40,20,27,0,0,0,0,0,0,0,1,2
26,1,15,8,19,20,29,37,15,8,5,7,28,28,39,39,0,0,0,1,0,0,0,0,3
23,1,14,15,20,20,18,39,12,5,11,4,30,25,26,58,0,0,0,0,0,0,0,1,1
19,1,16,19,20,20,18,40,18,2,12,6,12,16,13,68,0,0,0,1,0,0,0,0,0
5,1,14,3,12,11,25,28,4,8,1,2,38,10,49,25,0,0,0,1,0,0,0,0,6
20,1,18,16,20,19,17,39,12,4,5,10,21,26,20,35,0,0,0,0,1,0,0,0,0
21,10,18,11,20,7,12,25,-1,3,3,1,15,10,40,50,0,0,0,0,1,0,0,0,0
21,10,13,4,20,8,15,27,-1,5,0,3,11,9,63,16,0,0,0,0,1,0,0,0,2
20,10,16,12,20,7,12,24,-1,4,0,3,12,14,31,16,0,0,0,1,0,0,0,0,1
28,10,19,7,20,9,14,28,-1,4,2,3,16,12,55,22,0,0,0,0,1,0,0,0,1
29,10,19,3,20,9,19,28,-1,6,1,2,13,6,55,22,0,0,1,0,0,0,0,0,3
22,10,18,8,20,8,13,25,-1,4,1,3,15,14,37,49,0,0,1,0,0,0,0,0,0
20,10,18,2,20,8,18,24,-1,6,0,2,15,10,70,30,0,0,0,1,0,0,0,0,3
31,10,19,11,20,9,14,28,-1,4,2,3,15,17,39,16,0,0,0,0,0,0,0,1,1
27,10,16,1,20,9,25,25,-1,8,1,0,19,6,92,18,0,0,0,1,0,0,0,0,2
21,10,16,14,20,8,9,25,-1,2,3,3,6,9,30,30,0,0,0,0,1,0,0,0,1
28,10,17,6,20,9,15,28,-1,4,3,2,12,4,44,55,0,0,0,0,1,0,0,0,2
27,10,13,10,20,9,13,25,-1,4,1,4,10,11,41,41,0,0,0,1,0,0,0,0,0
21,10,13,17,20,8,6,25,-1,1,3,4,9,11,51,42,0,0,0,0,1,0,0,0,5
28,10,11,18,20,9,8,25,-1,2,2,5,6,12,9,18,0,0,0,0,1,0,0,0,2
21,10,13,12,20,8,12,25,-1,3,3,2,9,9,55,27,0,0,0,0,1,0,0,0,2
28,10,14,17,20,9,8,28,-1,2,2,5,8,13,29,22,0,0,0,0,1,0,0,0,2
27,10,18,6,20,9,14,25,-1,4,2,3,15,7,46,37,0,0,0,1,0,0,0,0,1
28,10,14,20,20,9,-1,28,-1,0,2,7,7,24,24,24,0,0,0,0,1,0,0,0,1
30,10,20,4,19,8,15,18,5,4,3,1,13,8,50,30,0,0,0,0,0,0,1,0,3
19,10,19,1,19,7,15,15,2,4,3,0,11,7,29,37,0,1,0,0,0,0,0,0,3
20,10,16,15,19,7,6,18,2,1,3,3,7,13,44,22,0,0,0,1,0,0,0,0,1
1,10,19,2,19,5,11,13,1,3,2,0,7,4,66,44,0,0,1,0,0,0,0,0,2
21,10,13,13,19,7,9,18,2,2,3,2,6,7,33,33,0,0,0,0,1,0,0,0,1
21,10,19,6,19,6,11,18,2,3,2,1,10,6,0,55,0,0,0,0,1,0,0,0,2
20,10,13,9,19,8,10,18,2,2,4,2,13,12,46,27,0,0,0,1,0,0,0,0,2
15,10,18,8,20,4,7,13,1,2,1,1,4,4,55,33,0,0,1,0,0,0,0,0,0
16,10,16,2,19,4,12,16,0,4,0,0,12,2,55,33,0,0,0,0,0,0,1,0,3
11,11,19,1,20,11,31,31,-1,10,1,0,24,8,90,11,0,0,0,0,1,0,0,0,2
10,11,19,3,20,11,25,31,-1,8,1,2,24,12,68,34,0,0,0,1,0,0,0,0,2
2,11,19,18,20,11,6,28,-1,1,3,7,10,20,0,27,0,1,0,0,0,0,0,0,1
3,11,19,13,20,10,13,28,-1,3,4,3,9,11,26,34,0,0,0,1,0,0,0,0,1
3,11,14,11,20,10,14,28,-1,4,2,4,16,19,29,22,0,0,0,1,0,0,0,0,0
11,11,14,12,20,12,15,31,2,4,3,5,15,12,31,16,0,0,0,0,1,0,0,0,1
11,11,11,3,20,11,25,31,-1,8,1,2,21,6,77,8,0,0,0,0,1,0,0,0,1
24,11,14,6,20,12,19,34,0,5,4,3,22,15,51,42,0,0,0,1,0,0,0,0,0
4,11,19,4,20,10,18,31,-1,5,3,2,20,14,47,47,0,0,0,0,1,0,0,0,1
25,11,17,5,20,12,21,37,0,6,3,3,21,16,46,46,0,0,0,0,1,0,0,0,1
25,11,14,20,20,12,0,37,0,0,3,9,10,30,22,33,0,0,0,0,1,0,0,0,0
25,11,14,8,20,12,18,37,0,5,3,4,23,14,55,41,0,0,0,0,1,0,0,0,2
3,11,17,8,20,10,15,28,-1,4,3,3,17,13,55,11,0,0,0,1,0,0,0,0,1
11,11,14,16,20,11,9,31,-1,2,3,6,9,16,0,34,0,0,0,0,1,0,0,0,2
4,11,14,9,20,11,16,31,0,4,4,3,17,16,44,44,0,0,0,0,1,0,0,0,2
25,11,14,10,20,12,17,37,0,4,5,3,18,10,34,42,0,0,0,0,1,0,0,0,0
26,11,19,11,20,12,17,37,1,4,5,3,17,15,20,60,0,0,1,0,0,0,0,0,0
25,11,19,12,20,12,15,37,1,4,3,5,16,15,17,17,0,0,0,0,1,0,0,0,1
11,11,14,17,20,11,9,31,-1,2,3,6,10,16,14,27,0,0,0,0,1,0,0,0,1
4,11,17,14,20,10,12,31,-1,3,3,4,17,12,51,42,0,0,0,0,1,0,0,0,2
23,11,20,1,19,11,24,24,5,7,3,1,21,9,61,13,0,1,0,0,0,0,0,0,1
4,11,14,6,20,11,17,31,0,4,5,2,13,12,42,42,0,0,0,0,1,0,0,0,4
10,11,14,11,19,9,13,22,5,4,1,4,11,12,22,44,0,0,0,1,0,0,0,0,0
28,11,19,14,19,10,11,29,1,3,2,5,8,13,37,37,0,0,0,0,0,0,0,1,0
10,11,17,4,19,12,19,22,5,5,4,3,22,18,0,31,0,0,0,1,0,0,0,0,3
10,11,14,16,19,11,8,22,5,1,5,5,10,18,22,44,0,0,0,1,0,0,0,0,3
3,11,14,7,19,9,15,19,5,4,3,2,11,6,55,27,0,0,0,1,0,0,0,0,0
24,11,17,9,19,11,17,24,5,5,2,4,16,16,44,66,0,0,0,1,0,0,0,0,1
2,11,18,12,16,7,6,18,2,2,0,5,6,10,18,0,0,1,0,0,0,0,0,0,2
22,12,20,7,20,16,24,46,4,6,6,4,29,22,44,29,0,0,0,1,0,0,0,0,0
